"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00077,7.6667e-06,0.0001,298.06,0,0,0,0,0,1,0,0,0,0,4680
0.00078,7.6667e-06,0.0001,296.11,0,0,0,0,0,1,0,0,0,0,4680
0.00079,7.6667e-06,0.0001,294.92,0,0,0,0,0,1,0,0,0,0,4680
0.0008,7.6667e-06,0.0001,294.2,0,0,0,0,0,1,0,0,0,0,4680
0.00081,7.6667e-06,0.0001,293.77,0,0,0,0,0,1,0,0,0,0,4680
0.00082,7.6667e-06,0.0001,293.52,0,0,0,0,0,1,0,0,0,0,4680
0.00083,7.6667e-06,0.0001,293.37,0,0,0,0,0,1,0,0,0,0,4680
0.00084,7.6667e-06,0.0001,293.28,0,0,0,0,0,1,0,0,0,0,4680
0.00085,7.6667e-06,0.0001,293.22,0,0,0,0,0,1,0,0,0,0,4680
0.00086,7.6667e-06,0.0001,293.19,0,0,0,0,0,1,0,0,0,0,4680
0.00087,7.6667e-06,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
0.00088,7.6667e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00089,7.6667e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.0009,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00091,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00092,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00093,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00094,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00095,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00096,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00097,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00098,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00099,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.001,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
1e-05,1.15e-05,0.0001,293.56,0,0,0,0,0,1,0,0,0,0,4680
0,1.15e-05,0.0001,293.25,0,0,0,0,0,1,0,0,0,0,4680
2e-05,1.15e-05,0.0001,293.98,0,0,0,0,0,1,0,0,0,0,4680
3e-05,1.15e-05,0.0001,294.42,0,0,0,0,0,1,0,0,0,0,4680
4e-05,1.15e-05,0.0001,294.89,0,0,0,0,0,1,0,0,0,0,4680
5e-05,1.15e-05,0.0001,295.38,0,0,0,0,0,1,0,0,0,0,4680
6e-05,1.15e-05,0.0001,295.93,0,0,0,0,0,1,0,0,0,0,4680
7e-05,1.15e-05,0.0001,296.52,0,0,0,0,0,1,0,0,0,0,4680
8e-05,1.15e-05,0.0001,297.17,0,0,0,0,0,1,0,0,0,0,4680
9e-05,1.15e-05,0.0001,297.9,0,0,0,0,0,1,0,0,0,0,4680
0.0001,1.15e-05,0.0001,298.7,0,0,0,0,0,1,0,0,0,0,4680
