"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00021,7.6667e-06,0.0001,307.29,0,0,0,0,0,1,0,0,0,0,4680
0.00022,7.6667e-06,0.0001,308.83,0,0,0,0,0,1,0,0,0,0,4680
0.00023,7.6667e-06,0.0001,310.49,0,0,0,0,0,1,0,0,0,0,4680
0.00024,7.6667e-06,0.0001,312.27,0,0,0,0,0,1,0,0,0,0,4680
0.00025,7.6667e-06,0.0001,314.2,0,0,0,0,0,1,0,0,0,0,4680
0.00026,7.6667e-06,0.0001,316.28,0,0,0,0,0,1,0,0,0,0,4680
0.00027,7.6667e-06,0.0001,318.52,0,0,0,0,0,1,0,0,0,0,4680
0.00028,7.6667e-06,0.0001,320.92,0,0,0,0,0,1,0,0,0,0,4680
0.00029,7.6667e-06,0.0001,323.51,0,0,0,0,0,1,0,0,0,0,4680
0.0003,7.6667e-06,0.0001,326.3,0,0,0,0,0,1,0,0,0,0,4680
0.00031,7.6667e-06,0.0001,329.3,0,0,0,0,0,1,0,0,0,0,4680
0.00032,7.6667e-06,0.0001,332.53,0,0,0,0,0,1,0,0,0,0,4680
0.00033,7.6667e-06,0.0001,336.01,0,0,0,0,0,1,0,0,0,0,4680
0.00034,7.6667e-06,0.0001,339.76,0,0,0,0,0,1,0,0,0,0,4680
0.00035,7.6667e-06,0.0001,343.81,0,0,0,0,0,1,0,0,0,0,4680
0.00036,7.6667e-06,0.0001,348.17,0,0,0,0,0,1,0,0,0,0,4680
0.00037,7.6667e-06,0.0001,352.89,0,0,0,0,0,1,0,0,0,0,4680
0.00038,7.6667e-06,0.0001,357.98,0,0,0,0,0,1,0,0,0,0,4680
0.00039,7.6667e-06,0.0001,363.49,0,0,0,0,0,1,0,0,0,0,4680
0.0004,7.6667e-06,0.0001,369.45,0,0,0,0,0,1,0,0,0,0,4680
0.00041,7.6667e-06,0.0001,375.9,0,0,0,0,0,1,0,0,0,0,4680
0.00042,7.6667e-06,0.0001,382.89,0,0,0,0,0,1,0,0,0,0,4680
0.00043,7.6667e-06,0.0001,390.46,0,0,0,0,0,1,0,0,0,0,4680
0.00044,7.6667e-06,0.0001,398.66,0,0,0,0,0,1,0,0,0,0,4680
0.00045,7.6667e-06,0.0001,407.55,0,0,0,0,0,1,0,0,0,0,4680
0.00046,7.6667e-06,0.0001,417.18,0,0,0,0,0,1,0,0,0,0,4680
0.00047,7.6667e-06,0.0001,427.6,0,0,0,0,0,1,0,0,0,0,4680
0.00048,7.6667e-06,0.0001,438.86,0,0,0,0,0,1,0,0,0,0,4680
0.00049,7.6667e-06,0.0001,451.01,0,0,0,0,0,1,0,0,0,0,4680
0.0005,7.6667e-06,0.0001,464.08,0,0,0,0,0,1,0,0,0,0,4680
0.00051,7.6667e-06,0.0001,478.1,0,0,0,0,0,1,0,0,0,0,4680
0.00052,7.6667e-06,0.0001,493.06,0,0,0,0,0,1,0,0,0,0,4680
0.00053,7.6667e-06,0.0001,508.93,0,0,0,0,0,1,0,0,0,0,4680
0.00054,7.6667e-06,0.0001,525.62,0,0,0,0,0,1,0,0,0,0,4680
0.00055,7.6667e-06,0.0001,542.98,0,0,0,0,0,1,0,0,0,0,4680
0.00056,7.6667e-06,0.0001,560.73,0,0,0,0,0,1,0,0,0,0,4680
0.00057,7.6667e-06,0.0001,578.46,0,0,0,0,0,1,0,0,0,0,4680
0.00058,7.6667e-06,0.0001,595.52,0,0,0,0,0,1,0,0,0,0,4680
0.00059,7.6667e-06,0.0001,610.95,0,0,0,0,0,1,0,0,0,0,4680
0.0006,7.6667e-06,0.0001,623.45,0,0,0,0,0,1,0,0,0,0,4680
0.00061,7.6667e-06,0.0001,631.4,0,0,0,0,0,1,0,0,0,0,4680
0.00062,7.6667e-06,0.0001,633.03,0,0,0,0,0,1,0,0,0,0,4680
0.00063,7.6667e-06,0.0001,626.71,0,0,0,0,0,1,0,0,0,0,4680
0.00064,7.6667e-06,0.0001,611.4,0,0,0,0,0,1,0,0,0,0,4680
0.00065,7.6667e-06,0.0001,586.99,0,0,0,0,0,1,0,0,0,0,4680
0.00066,7.6667e-06,0.0001,554.62,0,0,0,0,0,1,0,0,0,0,4680
0.00067,7.6667e-06,0.0001,516.62,0,0,0,0,0,1,0,0,0,0,4680
0.00068,7.6667e-06,0.0001,476.17,0,0,0,0,0,1,0,0,0,0,4680
0.00069,7.6667e-06,0.0001,436.64,0,0,0,0,0,1,0,0,0,0,4680
0.0007,7.6667e-06,0.0001,400.89,0,0,0,0,0,1,0,0,0,0,4680
0.00071,7.6667e-06,0.0001,370.79,0,0,0,0,0,1,0,0,0,0,4680
0.00072,7.6667e-06,0.0001,347.03,0,0,0,0,0,1,0,0,0,0,4680
0.00073,7.6667e-06,0.0001,329.32,0,0,0,0,0,1,0,0,0,0,4680
0.00074,7.6667e-06,0.0001,316.76,0,0,0,0,0,1,0,0,0,0,4680
0.00075,7.6667e-06,0.0001,308.21,0,0,0,0,0,1,0,0,0,0,4680
0.00076,7.6667e-06,0.0001,302.59,0,0,0,0,0,1,0,0,0,0,4680
0.00077,7.6667e-06,0.0001,298.99,0,0,0,0,0,1,0,0,0,0,4680
0.00078,7.6667e-06,0.0001,296.73,0,0,0,0,0,1,0,0,0,0,4680
0.00079,7.6667e-06,0.0001,295.32,0,0,0,0,0,1,0,0,0,0,4680
0.0008,7.6667e-06,0.0001,294.46,0,0,0,0,0,1,0,0,0,0,4680
0.00081,7.6667e-06,0.0001,293.94,0,0,0,0,0,1,0,0,0,0,4680
0.00082,7.6667e-06,0.0001,293.62,0,0,0,0,0,1,0,0,0,0,4680
0.00083,7.6667e-06,0.0001,293.43,0,0,0,0,0,1,0,0,0,0,4680
0.00084,7.6667e-06,0.0001,293.32,0,0,0,0,0,1,0,0,0,0,4680
0.00085,7.6667e-06,0.0001,293.25,0,0,0,0,0,1,0,0,0,0,4680
0.00086,7.6667e-06,0.0001,293.21,0,0,0,0,0,1,0,0,0,0,4680
0.00087,7.6667e-06,0.0001,293.19,0,0,0,0,0,1,0,0,0,0,4680
0.00088,7.6667e-06,0.0001,293.17,0,0,0,0,0,1,0,0,0,0,4680
0.00089,7.6667e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.0009,7.6667e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00091,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00092,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00093,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00094,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00095,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00096,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00097,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00098,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00099,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.001,7.6667e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
1e-05,1.15e-05,0.0001,293.56,0,0,0,0,0,1,0,0,0,0,4680
0,1.15e-05,0.0001,293.25,0,0,0,0,0,1,0,0,0,0,4680
2e-05,1.15e-05,0.0001,293.98,0,0,0,0,0,1,0,0,0,0,4680
3e-05,1.15e-05,0.0001,294.41,0,0,0,0,0,1,0,0,0,0,4680
4e-05,1.15e-05,0.0001,294.87,0,0,0,0,0,1,0,0,0,0,4680
5e-05,1.15e-05,0.0001,295.36,0,0,0,0,0,1,0,0,0,0,4680
6e-05,1.15e-05,0.0001,295.89,0,0,0,0,0,1,0,0,0,0,4680
